job_title,company_name,job_id,job_description,location,job_url,scraped_at
Python Developer,Atos,230825013057,Experience: 3 to 6 years.,"Hybrid - Pune, Bengaluru",https://www.naukri.com/job-listings-230825013057,2025-08-25 10:10:05
Python Developer,Shashwath Solution,220825909893,Responsibilities<br /><br />Involved in detailing and implementing user stories.<br />Understand the technical specifications and design the solutions.<br />Validate and implement the integration components of the third-party applications.<br />Build scalable and fault-tolerant software solutions ad...,Bengaluru,https://www.naukri.com/job-listings-220825909893,2025-08-25 10:10:05
Python Developer(+Snowflake)- Bangalore,Kiya.ai,220825012601,"<p> Job Title: Developer<br />Work Location: BANGALORE, KA.<br />Skill Required - Python Developer (Python + snowflake)<br /></p><p>Experience Range in Required Skills: 4+ years mandatory<br />Job Description:<br /></p><p>4+ years of Python developer experience, need strong candidates with Python ex...",Bengaluru,https://www.naukri.com/job-listings-220825012601,2025-08-25 10:10:05
Python Developer,IQVIA,40625031989,"Project Role: Senior Python Developer. Work Experience: 4 to 9 Years. Work location : Bengaluru,Kochi,Pune. Must Have Skills: Python,API<br><br>Required Skills:  . 5+ years of experience in Python development<br><br>Proficient in Git and CI / CD workflows<br><br>Experience with REST APIs,microservic...","Hybrid - Pune, Bengaluru, Kochi",https://www.naukri.com/job-listings-40625031989,2025-08-25 10:10:05
Python developer-pan India,Infosys,220725020578,"<p> </p><p><strong>Job description</strong></p><p><strong>Hiring for Python Developer with experience range 9 to 17 years.</strong></p><p><strong>Mandatory Skills: Python Developer-Python, Elasticsearch, PostgreSQL</strong></p><p><strong>Education: BE/B.Tech/MCA/M.Tech/MSc./MSts</strong></p>","Hybrid - Chennai, Bengaluru, Hyderabad",https://www.naukri.com/job-listings-220725020578,2025-08-25 10:10:05
Python Developer,Persistent,171024011437,"Expertise You?ll Bring. A Bachelor of Science degree in Computer Science,Engineering or relevant field. Work experience as a Python Developer. <br><br>Team spirit. Good problem-solving skills. Benefits",Bengaluru,https://www.naukri.com/job-listings-171024011437,2025-08-25 10:10:05
python developer senior software,Xerox,230525031941,"Responsible for those functions,activities,and skills required for analysis,design,coding,integration,test & maintenance of software modules,subsystems or systems which control other electrical,mechanical,electronic or network systems<br><br>Requires in-depth knowledge and experience",Remote,https://www.naukri.com/job-listings-230525031941,2025-08-25 10:10:05
Senior Software Developer  Python,Siemens,210825923541,"Bachelors or Masters degree in Computer Science,IT,or a related field<br><br>Experience with backend web frameworks,preferably FastAPI<br><br>5+ years of hands-on experience in software development,with a focus on Python<br><br>Practical experience with CI / CD,containerization (Docker),and version ...",Bengaluru,https://www.naukri.com/job-listings-210825923541,2025-08-25 10:10:05
Associate Software Engineer - C/C++ & Python Developer,Boeing,180825916063,"<div><p><b><u>Position Overview: </u></b></p><p>We are seeking a highly skilled <b>Associate Software Engineer C/C++ & Python Developer</b> to join our dynamic Simulations team. The ideal candidate will have a strong background in software development and testing, with a focus on automation and aero...",Bengaluru,https://www.naukri.com/job-listings-180825916063,2025-08-25 10:10:05
Python Developer,Adshi5.Com,200825013974,"Manage and optimize databases,including MySQL and LanceDB.  . Take ownership of projects and contribute to the overall success of the development team.  . Technical Skills: . Proficient in Python programming language.  <br><br>Experience with Python libraries (e.g.,NumPy,Pandas,Requests) for various...",Hybrid - Chennai,https://www.naukri.com/job-listings-200825013974,2025-08-25 10:10:05
